OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
RED,By.XPATH,//BODY/DIV[2]/DIV[1]/FORM[1]/SECTION[1]/DIV[1]/DIV[2]/DIV[1],423,88,100,24
BLUE,By.XPATH,//BODY/DIV[2]/DIV[1]/FORM[1]/SECTION[1]/DIV[1]/DIV[2]/DIV[2],523,88,100,24
VIOLET,By.XPATH,//BODY/DIV[2]/DIV[1]/FORM[1]/SECTION[1]/DIV[1]/DIV[2]/DIV[3],623,88,100,24
YELLOW,By.XPATH,//BODY/DIV[2]/DIV[1]/FORM[1]/SECTION[1]/DIV[1]/DIV[2]/DIV[4],723,88,100,24
CONTENT,By.CSS_SELECTOR,textarea,439,128,368,128
DELETE,By.CLASS_NAME,btn-danger,439,272,176,36
DONE,By.CLASS_NAME,btn-primary,631,272,176,36
