OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
UNKNOWN,By.CSS_SELECTOR,img,539,112,32,32
CONTRIBOARD,By.CSS_SELECTOR,h1,581,112,155,32
UNKNOWN_0,By.CSS_SELECTOR,label,540,177,28,13
NAME_EMAIL,By.CSS_SELECTOR,input[name="email"],540,190,200,36
NAME_PASSWORD,By.CSS_SELECTOR,input[name="password"],540,248,200,36
CLASS_BTN_PRIMARY,By.CLASS_NAME,btn-primary,540,300,200,36
CLASS_HELP,By.CLASS_NAME,help,540,352,200,9
NOT_REGISTERED,By.CSS_SELECTOR,p,540,373,200,14
CLASS_BTN_SECONDARY,By.CLASS_NAME,btn-secondary,540,391,200,36
